source_file,size_bytes,sha256
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,163840,205754a4e79796b5b4853c889268d20f195dcf2982af465610458a9ecdde2fb9
气象数据原/海口市2021-2026气象数据.xlsx,49788,54a8aaf707e8a3d90429e1e520e2ac0c9603d69f46104199eb596a6500d26adb
气象数据原/陵水县2021-2026气象数据.xlsx,50988,7deec8366555339a8058680ab1216a0d0cb55c486e2ab052ac208b41b890d5a2
测产.xlsx,13035,5fe14a9d79326db4bddcf7fa4c38c5bafbb0d796474c2115c0540abce05df0f4
物候期.xlsx,10342,37f8f6c5720c8fd0b4a60f0b5c15082ea6e6e0d91b24cb7703523db429958e39
示范园/2021年荔枝龙眼产业技术体系示范园-海口站（20210825）.doc,232124,2e3c50928b6e6bf41962b2ce757a9570aa8e090dbe921cd95e041c78d3696635
示范园/2022年荔枝龙眼产业技术体系示范园-海口站（20220825）.doc,176640,5cae6563af8acddd9e36c7ba3a618eb6e2ac63a1b2fb2813229b30cecf5a544b
示范园/2023年荔枝龙眼产业技术体系示范园-海口站（20230825）(1).doc,206626,2bf39e0e8f4376babfb3dcf66fd41823f52809d88fffff8d4de21e9c46671368
示范园/2024年荔枝龙眼产业技术体系示范园-海口站（20240825）.doc,246066,eece96b3ad5ef07e47bd350bb762787105b7d8029d1e56d90f79fb5531134339
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,241978,6dddefc305a650462d0c869c13ba00fd665b019d0776ff5508668f471b51aa71
示范园/2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,163840,205754a4e79796b5b4853c889268d20f195dcf2982af465610458a9ecdde2fb9
